"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"1347","The B-Side","Neon",1096,44,15,73,125227,42,2017-08-10
"1348","The Bad Batch","Neon",278,-60,3,93,180851,31,2017-07-23
"1349","The Ballad of Lefty Brown","A24",7856,NA,2,3928,7856,7,2017-12-21
"1350","The Battle of Algiers","Rialto Pictures",2161,-18,6,360,858549,17932,2016-10-23
"1351","The Bay","Roadside Attractions",65,-12,1,65,30668,14,2012-11-15
"1352","The Beatles: Eight Days a W…","Abramorama Films",65793,16,151,436,1695493,14,2016-09-29
"1353","The Beguiled","Focus Features",8755,12,89,98,10576669,49,2017-08-10
"1354","The Belko Experiment","BH Tilt",570,20,18,32,10166820,70,2017-05-25
"1355","The Best Exotic Marigold Hotel","Fox Searchlight",1926,-8,10,193,46383639,175,2012-10-25
"1356","The Best Man Holiday","Universal",8425,8,130,65,70525195,56,2014-01-09
"1357","The Best of Me","Relativity",1524,40,31,49,26766213,91,2015-01-15
"1358","The BFG","Walt Disney",2649,18,40,66,55483770,105,2016-10-13
"1359","The Big Picture","MPI Media Group",5232,-41,7,747,96783,8452,2012-11-04
"1360","The Big Short","Paramount Pictures",6919,7,108,64,70259870,119,2016-04-07
"1361","The Big Sick","Lionsgate",2794,11,64,44,42872467,119,2017-10-19
"1362","The Big Wedding","Lionsgate",4586,57,101,45,21819348,70,2013-07-04
"1363","The Birth of a Nation","Fox Searchlight",8549,-5,107,80,15803772,42,2016-11-17
"1364","The Blackcoat’s Daughter","A24",225,221,5,45,20435,14,2017-04-13
"1365","The Bling Ring","A24",425,-72,11,39,5831565,73,2013-08-25
"1366","The Book of Henry","Focus Features",14475,-4,154,94,4288104,28,2017-07-13
"1367","The Book of Life","20th Century Fox",2875,-6,74,39,50086112,112,2015-02-05
"1368","The Book Thief","20th Century Fox",3641,13,47,77,21415417,133,2014-03-20
"1369","The Boss","Universal",10215,-5,127,80,63077560,70,2016-06-16
"1370","The Boss Baby","20th Century Fox",228,6,90,3,174967430,161,2017-09-07
"1371","The Bounce Back","Viva Entertainment",882,-54,22,40,320676,10,2016-12-18
"1372","The Bourne Legacy","Universal",9870,8,153,65,113203870,91,2012-11-08
"1373","The Boxtrolls","Focus Features",847,-3,58,15,50837305,133,2015-02-05
"1374","The Boy","STX Entertainment",6531,8,78,84,35819556,70,2016-03-31
"1375","The Boy and the Beast","FUNimation",24654,-66,119,207,298901,4,2016-03-07
"1376","The Boy and the World","GKIDS",866,-16,1,866,15991,10,2015-12-20
"1377","The Boy Next Door","Universal",9150,-6,122,75,35423380,49,2015-03-12
"1378","The Breadwinner","GKIDS",150,NA,1,150,312381,118,2018-03-14
"1379","The Bronze","Sony Pictures Classics",130000,NA,1167,111,130000,1,2016-03-18
"1380","The Brothers Grimsby","Sony Pictures",9224,-35,50,184,6828166,24,2016-04-03
"1381","The Bye Bye Man","STX Entertainment",2949,-6,62,48,22395806,35,2017-02-16
"1382","The Cabin in the Woods","Lionsgate",7796,6,83,94,42073277,91,2012-07-12
"1383","The Call","Sony Pictures",18802,-34,91,207,51872378,87,2013-06-09
"1384","The Campaign","Warner Bros.",1470,-24,101,15,86907746,105,2012-11-22
"1385","The Case for Christ","Pure Flix Entertain…",1346,19,18,75,14672135,77,2017-06-22
"1386","The Catcher Was A Spy","IFC Films",594,14,6,99,714205,63,2018-08-23
"1387","The Challenger","Freestyle Releasing",52,160,1,52,19003,10,2015-09-20
"1388","The Charnel House","Freestyle Releasing",326,-38,10,33,6332,7,2016-11-10
"1389","The Choice","Lionsgate",6025,18,105,57,18730891,56,2016-03-31
"1390","The Circle","STX Entertainment",4040,-20,91,44,20497844,42,2017-06-08
"1391","The Cold Light of Day","Lionsgate",3298,3,104,32,3763583,28,2012-10-04
"1392","The Collection","LD Distribution",205000,-15,1403,146,3784000,6,2012-12-05
"1393","The Commuter","Lionsgate",6484,1,71,91,36343858,63,2018-03-15
"1394","The Conjuring","Warner Bros.",4967,68,100,50,137400141,106,2013-10-31
"1395","The Conjuring 2: The Enfiel…","Warner Bros.",3415,102,42,81,102470008,77,2016-08-25
"1396","The Counselor","20th Century Fox",2041,66,24,85,16954807,69,2014-01-01
"1397","The Croods","20th Century Fox",725,12,20,36,187168425,182,2013-09-19
"1398","The D Train","IFC Films",160000,NA,1009,159,160000,1,2015-05-08
"1399","The Dance of Reality","ABCKO Films",6863,NA,2,3432,31631,4,2014-05-26
"1400","The Danish Girl","Focus Features",1794,-21,15,120,11114018,112,2016-03-17
"1401","The Dark Knight Rises","Warner Bros.",2407,17,62,39,448139099,147,2012-12-13
"1402","The Dark Tower","Sony Pictures",6756,-34,59,115,50692621,73,2017-10-15
"1403","The Darkest Hour","Summit Entertainment",1850,-61,94,20,21443494,68,2012-03-01
"1404","The Darkest Minds","20th Century Fox",7145,19,172,42,12503245,28,2018-08-30
"1405","The Darkness","High Top Releasing",4975,NA,79,63,10753574,49,2016-06-30
"1406","The Day","Anchor Bay Entertai…",117,19,2,59,20984,16,2012-09-13
"1407","The Death of Stalin","IFC Films",220,25,3,73,8041828,140,2018-07-26
"1408","The Decent One","Kino Lorber",32,NA,1,32,2040,40,2014-11-09
"1409","The Departure","Matson",564,-14,3,188,24322,54,2017-12-05
"1410","The Descendants","Fox Searchlight",1366,-67,21,65,82624961,166,2012-04-29
"1411","The Devil and Father Amorth","The Orchard",720,3030,1,720,20449,29,2018-05-18
"1412","The Devil Inside","Paramount Pictures",4479,14,77,58,53262945,77,2012-03-22
"1413","The Devil's Violinist","Freestyle Releasing",1034,34,10,103,11294,7,2015-02-05
"1414","The Dictator","Paramount Pictures",8633,10,105,82,59650222,72,2012-07-26
"1415","The Dinner","The Orchard",189,128,5,38,1323312,42,2017-06-15
"1416","The Disappearance of Eleano…","Unison Films",718,66,2,359,587152,55,2014-11-05
"1417","The Disappointments Room","Relativity",667,21,4,167,2414077,42,2016-10-20
"1418","The Disaster Artist","A24",1074,22,8,134,21120616,98,2018-03-08
"1419","The Divergent Series: Alleg…","Lionsgate",9379,11,153,61,66184051,77,2016-06-02
"1420","The Divergent Serires: Insu…","Lionsgate",12831,-2,124,103,130179072,112,2015-07-09
"1421","The Double","Magnolia Pictures",6933,NA,16,433,101888,18,2014-05-26
"1422","The Dressmaker","Broad Green Pictures",50000,NA,36,1389,50000,1,2016-09-23
"1423","The Drop","Fox Searchlight",2623,-25,43,61,10680693,42,2014-10-23
"1424","The DUFF","CBS Films",3319,14,80,41,34030343,84,2015-05-14
"1425","The East","Fox Searchlight",1766,18,13,136,2274649,70,2013-08-08
"1426","The Edge of Seventeen","STX Entertainment",5023,-7,71,71,14431633,49,2017-01-05
"1427","The Emoji Movie","Sony Pictures",3363,-44,51,66,86087381,122,2017-11-26
"1428","The Equalizer","Sony Pictures",27549,-41,148,186,101034706,101,2015-01-04
"1429","The Equalizer 2","Sony Pictures",165088,-8,1914,86,98901362,42,2018-08-30
"1430","The Exception","A24",285,26,2,143,705963,84,2017-08-24
"1431","The Expendables 2","Lionsgate",5900,21,95,62,85028192,96,2012-11-20
"1432","The Expendables 3","Lionsgate",7593,9,149,51,39322544,63,2014-10-16
"1433","The Fallen Idol","Rialto Pictures",282,NA,1,282,197294,24447,2016-10-20
"1434","The Family","Relativity",245,-27,19,13,36918811,119,2014-01-09
"1435","The Fate of the Furious","Universal",19270,19,115,168,225764765,91,2017-07-13
"1436","The Fault in Our Stars","20th Century Fox",1627,3,47,35,124836965,112,2014-09-25
"1437","The Fifth Estate","Walt Disney",80513,11,1769,46,3154931,14,2013-10-31
"1438","The Finest Hours","Walt Disney",96680,-20,946,102,25919859,28,2016-02-25
"1439","The First Purge","Universal",7405,2,128,58,68929700,58,2018-08-30
"1440","The Five-Year Engagement","Universal",12675,-11,168,75,28700285,56,2012-06-21
"1441","The Florida Project","A24",602,-41,9,67,5904366,168,2018-03-22
"1442","The Fluffy Movie","Open Road",1469,-1,30,49,2827393,35,2014-08-28
"1443","The Foreigner","STX Entertainment",5432,9,93,58,34393507,70,2017-12-21
"1444","The Forest","Focus / Gramercy",2490,-17,36,69,26594261,70,2016-03-17
"1445","The Founder","Weinstein Co.",150,NA,8,19,12786053,118,2017-04-27
"1446","The Galapagos Affair: Satan…","Zeitgeist",2276,NA,11,207,221285,53,2014-05-26
"1447","The Gallows","Warner Bros.",1669,8,82,20,22764410,70,2015-09-17
"1448","The Gambler","Paramount Pictures",1854,2,46,40,33680992,72,2015-02-19
"1449","The Gift","STX Entertainment",3894,1,82,47,43787265,63,2015-10-08
"1450","The Girl","Brainstorm Media",180,-48,7,26,28267,21,2013-03-28
"1451","The Girl in the Book","Freestyle Releasing",579,-28,10,58,8245,7,2015-12-17
"1452","The Girl on the Train","Universal",47645,410,112,425,75395035,78,2016-12-23
"1453","The Girl with the Dragon Ta…","Sony Pictures",19404,-38,108,180,102515793,89,2012-03-18
"1454","The Girl Without Hands","GKIDS",139,18,7,20,21787,66,2017-09-24
"1455","The Giver","Weinstein Co.",351,-3,15,23,45090374,119,2014-12-11
"1456","The Glass Castle","Lionsgate",9470,2,113,84,17273059,63,2017-10-12
"1457","The Good Dinosaur","Walt Disney",82460,-4,1190,69,117793613,51,2016-01-14
"1458","The Good Lie","Warner Bros.",1264,-20,16,79,2722209,98,2015-01-08
"1459","The Grand Budapest Hotel","Fox Searchlight",7393,-15,46,161,58973476,140,2014-07-24
"1460","The Grand Seduction","Entertainment One",47138,-33,91,518,1878545,38,2014-07-06
"1461","The Grandmaster","Weinstein Co.",291,111,9,32,6594959,63,2013-10-24
"1462","The Great Beauty","Janus Films",21045,NA,52,405,1949409,95,2014-02-17
"1463","The Great Gatsby","Warner Bros.",7659,12,88,87,144840419,105,2013-08-22
"1464","The Great Museum","Kino Lorber",9280,NA,2,4640,16268,64,2015-06-26
"1465","The Great Silence (1969) (R…","Film Movement",3616,27,1,3616,10275,3,2018-04-01
"1466","The Great Wall","Universal",7015,-4,104,67,45157105,49,2017-04-06
"1467","The Greatest Showman","20th Century Fox",1934,-6,21,92,174045042,177,2018-06-14
"1468","The Green Inferno","High Top Releasing",1636,38,36,45,7192291,42,2015-11-05
"1469","The Grey","Open Road",2003,-3,41,49,51580136,84,2012-04-19
"1470","The Guilt Trip","Paramount Pictures",8885,5,133,67,37134215,79,2013-03-07
"1471","The Gunman","Open Road",5595,4,100,56,10664749,42,2015-04-30
"1472","The Hangover 3","Warner Bros.",4773,87,46,104,112200072,85,2013-08-15
"1473","The Happytime Murders","STX Entertainment",627096,5,3256,193,12615694,7,2018-08-30
"1474","The Harry Potter IMAX Marathon","Warner Bros.",50841,-55,330,154,1729226,7,2016-10-20
"1475","The Hateful Eight","Weinstein Co.",201,-50,9,22,54117416,126,2016-04-28
"1476","The Heat","20th Century Fox",1065,-1,18,59,159581587,168,2013-12-12
"1477","The Helsings","Self Distributed",478,NA,1,478,478,1,2017-05-26
"1478","The Hero","The Orchard",28,-20,2,14,4077333,124,2017-10-10
"1479","The Historian","",12,NA,1,12,7123,63,2015-01-08
"1480","The Hitman’s Bodyguard","Lionsgate",7055,4,147,48,75468583,77,2017-11-02
"1481","The Hobbit: An Unexpected J…","Warner Bros.",803,64,51,16,303003568,133,2013-04-25
"1482","The Hobbit: The Battle of t…","Warner Bros.",3205,14,85,38,255119788,107,2015-04-02
"1483","The Hobbit: The Desolation …","Warner Bros.",3751,33,101,37,258366855,126,2014-04-17
"1484","The Homeless Billionaire","Hannover House",4583,-7,1,4583,34563,6,2016-06-22
"1485","The Homesman","Roadside Attractions",12817,-34,4,3204,45433,3,2014-11-16
"1486","The Hornet’s Nest","Freestyle Releasing",323,62,1,323,312706,84,2014-07-31
"1487","The Host","Open Road",3430,5,59,58,26623701,62,2013-05-29
"1488","The House","Warner Bros.",5187,NA,95,55,25584504,63,2017-08-31
"1489","The Hundred-Foot Journey","Walt Disney",68052,-6,719,95,52883311,56,2014-10-02
"1490","The Hunger Games","Lionsgate",3770,10,145,26,408010692,168,2012-09-06
"1491","The Hunger Games: Catching …","Lionsgate",5873,9,158,37,424668047,133,2014-04-03
"1492","The Hunger Games: Mockingja…","Lionsgate",8707,13,175,50,337135885,119,2015-03-19
"1493","The Hunting Ground","RADiUS-TWC",846,NA,2,423,384052,105,2015-06-11
"1494","The Huntsman: Winter’s War","Universal",12225,-5,141,87,48003015,56,2016-06-16
"1495","The Hurricane Heist","Entertainment Studi…",279,49,3,93,6115824,63,2018-05-10
"1496","The Identical","Freestyle Releasing",2195,-13,66,33,2827666,21,2014-09-25
"1497","The Ides of March","Sony Pictures",16725,-47,114,147,40962534,94,2012-01-08
"1498","The Imitation Game","Weinstein Co.",997,1,22,45,91125143,168,2015-05-14
"1499","The Immigrant","RADiUS-TWC",8865,-16,61,145,2013456,48,2014-07-02
"1500","The Impossible","Lionsgate",5784,-9,77,75,19019882,119,2013-04-18
"1501","The Imposter","Indomina Releasing",2127,-8,2,1064,68987,21,2012-08-02
"1502","The Incredible Burt Wonders…","Warner Bros.",3266,17,82,40,22537881,56,2013-05-09
"1503","The Inevitable Defeat of Mi…","Codeblack Entertain…",1557,-30,49,32,494608,21,2013-10-31
"1504","The Infiltrator","Broad Green Pictures",1129,-13,12,94,15431420,79,2016-09-29
"1505","The Intern","Warner Bros.",14010,6,151,93,75764672,105,2016-01-07
"1506","The Internship","20th Century Fox",1812,-3,17,107,44672764,98,2013-09-12
"1507","The Interview","Sony Pictures",11628,2,163,71,6067361,29,2015-01-22
"1508","The Intouchables","Weinstein Co.",1410,NA,12,118,13182281,236,2013-01-15
"1509","The Iron Lady","Weinstein Co.",306889,1,1244,247,18757349,35,2012-02-02
"1510","The Judge","Warner Bros.",4520,21,60,75,47119388,98,2015-01-15
"1511","The Jungle Book","Walt Disney",1824,97,34,54,364001123,168,2016-09-29
"1512","The Killing of a Sacred Deer","A24",951,11,8,119,2291900,70,2017-12-28
"1513","The Kings of Summer","CBS Films",6739,16,35,193,1315500,56,2013-07-25
"1514","The Last Dalai Lama?","Matson",590,NA,2,295,145513,152,2017-12-05
"1515","The Last Exorcism Part II","CBS Films",7895,54,102,77,15179303,35,2013-04-04
"1516","The Last Five Years","RADiUS-TWC",12900,NA,6,2150,12900,1,2015-02-13
"1517","The Last Sentence","Music Box Films",1438,NA,1,1438,62506,71,2014-08-29
"1518","The Last Stand","Lionsgate",6084,13,114,53,12050299,42,2013-02-28
"1519","The Last Witch Hunter","Lionsgate",2076,-38,30,69,27367660,70,2015-12-31
"1520","The Lazarus Effect","Lionsgate",523,-35,19,28,25801570,105,2015-06-11
"1521","The Legend of Hercules","Lionsgate",6799,-4,61,111,18848538,63,2014-03-13
"1522","The Legend of Tarzan","Warner Bros.",14595,1,226,65,126643061,77,2016-09-15
"1523","The Lego Batman Movie","Warner Bros.",19504,22,166,117,175750384,119,2017-06-08
"1524","The Lego Movie","Warner Bros.",36586,2584,15,2439,257784718,196,2014-08-21
"1525","The Lego Ninjago Movie","Warner Bros.",6679,11,292,23,59281555,70,2017-11-30
"1526","The Letters","Freestyle Releasing",28,-15,2,14,1647416,56,2016-01-28
"1527","The Light Between Oceans","Walt Disney",3107,12,100,31,12545979,63,2016-11-03
"1528","The Lion in Winter","Rialto Pictures",76,12,1,76,22294332,17600,2017-01-05
"1529","The Lobster","A24",960,-22,7,137,9196278,158,2016-08-29
"1530","The Lodgers","Epic Pictures Group",87,NA,1,87,7362,17,2018-03-11
"1531","The Loft","Open Road",5226,2,101,52,6002684,28,2015-02-26
"1532","The Lone Ranger","Walt Disney",52095,-5,553,94,87054312,38,2013-08-08
"1533","The Longest Ride","20th Century Fox",3648,3,45,81,37421866,77,2015-06-25
"1534","The Lords of Salem","Anchor Bay Entertai…",557,79,15,37,1165881,28,2013-05-16
"1535","The Lost City of Z","Bleecker Street",5834,-22,121,48,8403655,56,2017-06-08
"1536","The Lost Medallion: The Adv…","Freestyle Releasing",3317,21,6,553,549632,73,2013-05-12
"1537","The Lovers","A24",650,12,5,130,2194521,73,2017-07-16
"1538","The Lucky One","Warner Bros.",3789,8,41,92,60457138,91,2012-07-19
"1539","The Magnificent Seven","Sony Pictures",4785,70,23,208,93427848,102,2017-01-02
"1540","The Man From U.N.C.L.E.","Warner Bros.",2913,29,76,38,45445109,70,2015-10-22
"1541","The Man in 3B","Freestyle Releasing",60,-31,1,60,291513,49,2015-12-24
"1542","The Man Who Invented Christmas","Bleecker Street",257,-11,8,32,5676110,62,2018-01-22
"1543","The Man Who Knew Infinity","IFC Films",364,NA,1,364,3877922,168,2016-10-13
"1544","The Man with the Iron Fists","Universal",5460,-8,105,52,15634090,49,2012-12-20
"1545","The Martian","20th Century Fox",3977,-11,56,71,228395947,154,2016-03-03
"1546","The Masked Saint","Freestyle Releasing",236,1,26,9,182695,14,2016-01-21
"1547","The Master","Weinstein Co.",5334,5,16,333,16022451,125,2013-01-16
"1548","The Maze Runner","20th Century Fox",1860,16,60,31,102395496,126,2015-01-22
"1549","The Meg","Warner Bros.",921461,-19,4031,229,109986416,21,2018-08-30
"1550","The Mermaid","Sony Pictures",5199,NA,7,743,3229457,45,2016-04-03
"1551","The Met: Live in HD - Aida","NCM Fathom",2800000,NA,800,3500,2800000,1,2012-12-15
"1552","The Met: Live in HD - Tannh…","",1150000,NA,900,1278,1150000,1,2015-10-31
"1553","The Miracle Season","LD Entertainment",1439,5,30,48,10230620,91,2018-07-05
"1554","The Monster","A24",36,-33,3,12,12544,14,2016-11-24
"1555","The Monuments Men","Sony Pictures",12546,-49,94,133,78031620,101,2014-05-18
"1556","The Mortal Instruments: Cit…","Sony Pictures",17088,-44,146,117,31165421,47,2013-10-06
"1557","The Most Unknown","Abramorama Films",2045,NA,1,2045,8048,14,2018-05-31
"1558","The Mountain Between Us","20th Century Fox",4947,24,112,44,30348555,77,2017-12-21
"1559","The Mummy","Universal",7895,13,102,77,80101125,70,2017-08-17
"1560","The Muppets","Walt Disney",1031621,41,1541,669,83561073,41,2012-01-02
"1561","The Music of Strangers: Yo …","The Orchard",1124,15,10,112,1165078,112,2016-09-29
"1562","The Neon Demon","Broad Green Pictures",430,-51,6,72,1333124,42,2016-08-04
"1563","The Nice Guys","Warner Bros.",4015,27,44,91,36261763,77,2016-08-04
"1564","The Night","Rialto Pictures",3142,-28,2,1571,14313,5,2016-09-18
"1565","The Night Before","Sony Pictures",7446,-9,132,56,43013582,49,2016-01-07
"1566","The Night is Short, Walk on…","GKIDS",3047,-15,9,339,371091,10,2018-08-30
"1567","The Nightmare Before Christmas","Walt Disney",79200,NA,211,375,64405375,7689,2014-10-31
"1568","The November Man","Relativity",1172,-9,44,27,25018119,65,2014-10-30
"1569","The Nut Job","Open Road",3438,18,101,34,64251538,112,2014-05-08
"1570","The Nut Job 2: Nutty by Nature","Open Road",5387,-11,341,16,28370522,49,2017-09-28
"1571","The Odd Life of Timothy Green","Walt Disney",48767,-72,1187,41,49759804,48,2012-10-01
"1572","The Only Living Boy in New …","Roadside Attractions",338,-7,5,68,624332,49,2017-09-28
"1573","The Oogieloves in the BIG B…","Kenn Viselman Presents",234,100,8,29,1065907,23,2012-09-20
"1574","The Other Side of the Door","20th Century Fox",12768,-48,227,56,2868200,21,2016-03-24
"1575","The Other Woman","20th Century Fox",4258,5,39,109,83882172,98,2014-07-31
"1576","The Party","Roadside Attractions",168,-66,7,24,749827,84,2018-05-10
"1577","The Passionate Thief","Rialto Pictures",1280,-46,2,640,26557,129,2015-04-12
"1578","The Peanuts Movie","20th Century Fox",4755,1,89,53,130081684,105,2016-02-18
"1579","The Perfect Guy","Sony Pictures",44397,-39,181,245,56506153,52,2015-11-01
"1580","The Perfect Match","Lionsgate",2805,9,85,33,9669521,49,2016-04-28
"1581","The Perks of Being a Wallfl…","Lionsgate",1133,5,37,31,17742948,140,2013-02-07
"1582","The Pirates! Band of Misfits","Sony Pictures",19721,-22,112,176,31051126,101,2012-08-05
"1583","The Place Beyond the Pines","Focus Features",4541,-18,53,86,21403519,91,2013-06-27
"1584","The Players","Weinstein Co.",969,-19,50,19,9552,6,2014-04-09
"1585","The Playroom","Freestyle Releasing",665,57,12,55,5964,63,2013-04-11
"1586","The Polar Express","Warner Bros.",19539,199,18,1086,183710445,4776,2017-12-07
"1587","The Possession","Lionsgate",4230,17,81,52,49130154,82,2012-11-20
"1588","The Post","20th Century Fox",8646,-26,76,114,81737012,105,2018-04-05
"1589","The Pretty One","Dada Films",1508,-41,5,302,11186,17,2014-02-23
"1590","The Promise","Open Road",8866,-7,110,81,8224288,28,2017-05-18
"1591","The Purge","Universal",11895,-5,132,90,64473115,63,2013-08-08
"1592","The Purge: Anarchy","Universal",9155,-21,167,55,71562550,63,2014-09-18
"1593","The Purge: Election Year","Universal",8575,-3,116,74,79042440,49,2016-08-18
"1594","The Pyramid","20th Century Fox",618,4,7,88,2709280,35,2015-01-08
"1595","The Queen of Katwe","Walt Disney",2934,2,53,55,8874389,105,2017-01-05
"1596","The Quiet  Ones","Lionsgate",3520,7,72,49,8509867,42,2014-06-05
"1597","The Railway Man","Weinstein Co.",942,-7,11,86,4438438,98,2014-07-17
"1598","The Raven","Relativity",601,NA,29,21,16008272,77,2012-07-12
"1599","The Recall","Freestyle Releasing",490,-49,31,16,22233,20,2017-06-21
"1600","The Remaining","Sony Pictures",12636,-15,21,602,1043220,45,2014-10-19
"1601","The Resurrection of Gavin S…","High Top Releasing",5885,-10,118,50,2303792,21,2017-02-09
"1602","The Revenant","20th Century Fox",3950,15,87,45,183609490,140,2016-05-12
"1603","The Road","Freestyle Releasing",1123,30,10,112,92476,14,2012-05-24
"1604","The Rocket","Kino Lorber",288,NA,1,288,56823,248,2014-09-14
"1605","The Rocky Horror Picture Show","20th Century Fox",92000,-46,250,368,1054845,15375,2017-10-29
"1606","The Salesman","Cohen Media Group",28881,NA,94,307,1223387,27,2017-02-22
"1607","The Sapphires","Weinstein Co.",648,-8,10,65,2450867,126,2013-07-25
"1608","The Seasons in Quincy: Four…","Icarus Films",1490,-23,1,1490,16738,12,2016-09-11
"1609","The Second Best Exotic Mari…","Fox Searchlight",4974,2,59,84,33021418,91,2015-06-04
"1610","The Secret Life of Pets","Universal",21860,5,107,204,368384330,175,2016-12-29
"1611","The Secret Life of Walter M…","20th Century Fox",4632,14,63,74,58178353,93,2014-03-27
"1612","The Secret World of Arrietty","Walt Disney",186421,3,1522,122,15268380,14,2012-03-01
"1613","The Sense of an Ending","CBS Films",10544,9,88,120,1274420,28,2017-04-06
"1614","The Sessions","Fox Searchlight",1269,-11,13,98,6002451,147,2013-03-14
"1615","The Shack","Lionsgate",13715,14,201,68,57386418,77,2017-05-18
"1616","The Shallows","Sony Pictures",4037,-60,17,237,55121623,94,2016-09-25
"1617","The Shape of Water","Fox Searchlight",12261,-14,113,109,63699028,126,2018-04-05
"1618","The Signal","Focus Features",903,-27,15,60,600896,35,2014-07-17
"1619","The Sisterhood of Night","Freestyle Releasing",345,-36,10,35,6870,7,2015-04-16
"1620","The Sitter","20th Century Fox",896,-23,12,75,30542576,98,2012-03-15
"1621","The Skeleton Twins","Lionsgate/Roadside …",7435,-32,31,240,5206391,66,2014-11-16
"1622","The Smurfs 2","Sony Pictures",16062,-30,88,183,71017784,110,2013-11-17
"1623","The Snowman","Universal",3115,-7,85,37,6670765,28,2017-11-16
"1624","The Space Between Us","STX Entertainment",12684,-7,107,119,7885294,28,2017-03-02
"1625","The Spectacular Now","A24",274,77,8,34,6850720,111,2013-11-20
"1626","The SpongeBob Movie: Sponge…","Paramount Pictures",15602,14,187,83,162994032,112,2015-05-28
"1627","The Spy Who Dumped Me","Lionsgate",71669,-17,1295,55,32690728,28,2018-08-30
"1628","The Stanford Prison Experiment","IFC Films",10000,NA,2,5000,10000,1,2015-07-17
"1629","The Star","Sony Pictures",5203,-27,50,104,40847995,87,2018-02-11
"1630","The Strangers: Prey at Night","Aviron Pictures",809,43,15,54,24431472,77,2018-05-24
"1631","The Stray","Purdie Distribution",158,-77,6,26,1579440,70,2017-12-14
"1632","The Suicide Theory","Freestyle Releasing",249,-16,10,25,6434,7,2015-07-16
"1633","The Take","High Top Releasing",3165,-43,100,32,50269,5,2016-11-22
"1634","The Tale of the Princess Ka…","GKIDS",10137,-21,26,390,408696,31,2014-11-16
"1635","The Theory of Everything","Focus Features",12580,NA,168,75,35753877,133,2015-03-19
"1636","The Things of Life","Rialto Pictures",107,5,1,107,24496,98,2015-09-17
"1637","The Third Man","Rialto Pictures",2242,-16,11,204,970096,23934,2015-08-13
"1638","The Three Stooges","20th Century Fox",2605,12,27,96,44338224,126,2012-08-16
"1639","The To Do List","CBS Films",7385,-39,86,86,3491669,21,2013-08-15
"1640","The Transporter Refueled","EuropaCorp",471,2,13,36,16029670,77,2015-11-19
"1641","The Trip to Italy","IFC Films",32600,NA,6,5433,32600,1,2014-08-15
"1642","The Twilight Saga: Breaking…","Lionsgate",6393,5,180,36,292324737,113,2013-03-07
"1643","The Ultimate Life","High Top Releasing",692,99,9,77,1327841,35,2013-10-10
"1644","The Unknown Known","RADiUS-TWC",60,-86,5,12,268083,55,2014-05-26
"1645","The Vatican Tapes","Lionsgate",4786,-8,66,73,1784763,28,2015-08-20
"1646","The Visit","Universal",8380,-22,153,55,65112020,77,2015-11-26
"1647","The Voices","Lionsgate",5000,NA,12,417,5000,1,2015-02-06
"1648","The Vow","Sony Pictures",16527,NA,111,149,124978293,92,2012-05-11
"1649","The Walk","Sony Pictures",28144,11,91,309,10044817,24,2015-11-01
"1650","The Wall","Roadside Attractions",9,-80,2,5,1803064,40,2017-06-20
"1651","The War of the Buttons","Weinstein Co.",1446,-32,8,181,38661,17,2012-10-28
"1652","The Watch","20th Century Fox",578,-16,14,41,34353000,84,2012-10-18
"1653","The Water Diviner","Warner Bros.",3476,24,21,166,4200117,70,2015-07-02
"1654","The Way","Producers Distribut…",5519,NA,40,138,4331541,102,2012-01-16
"1655","The Way Way Back","Fox Searchlight",354,-18,6,59,21502690,140,2013-11-21
"1656","The Wedding Party 2: Destin…","IronFlix",365,24,1,365,11140,12,2018-02-25
"1657","The Wedding Plan","Roadside Attractions",205,-45,3,68,1412404,91,2017-08-10
"1658","The Wedding Ringer","Sony Pictures",14083,-26,107,132,64460211,80,2015-04-05
"1659","The Wicker Man: The Final Cut","Rialto Pictures",1904,-52,5,381,41934,14034,2013-11-01
"1660","The Wild Life","Lionsgate",8510,29,164,52,8005586,35,2016-10-13
"1661","The Wind Rises","Walt Disney",50921,-1,305,167,4342709,133,2014-03-20
"1662","The Witch","A24",284150,-34,945,301,22914150,24,2016-03-13
"1663","The Wizard of Oz","Warner Bros.",4333,28,50,87,33711566,27083,2013-10-17
"1664","The Wolf of Wall Street","Paramount Pictures",8018,-13,134,60,116900694,100,2014-04-03
"1665","The Wolverine","20th Century Fox",1664,-1,35,48,132556852,133,2013-12-05
"1666","The Woman in Black","CBS Films",2584,10,63,41,54333290,91,2012-05-03
"1667","The Woman in Black 2: Angel…","Relativity",753,-47,32,24,26501323,77,2015-03-19
"1668","The Words","CBS Films",15605,33,278,56,11494838,28,2012-10-04
"1669","The Work","The Orchard",509,-3,2,255,5853,9,2017-11-02
"1670","The World's End","Focus Features",362,-25,6,60,26004851,105,2013-12-05
"1671","The Worst Movie EVER!","Hiltz Squared",460,NA,1,460,10654,588,2013-03-28
"1672","The Young and Prodigious T.…","Weinstein Co.",169,61,4,42,176847,35,2015-09-03
"1673","The Young Karl Marx","The Orchard",136,NA,2,68,125659,84,2018-05-17
"1674","The Young Messiah","Focus Features",1874,11,55,34,6469813,42,2016-04-21
"1675","The Zero Theorem","Amplify",28400,NA,55,516,40304,1,2014-09-19
"1676","The Zookeeper’s Wife","Focus Features",8970,-2,92,98,17445186,77,2017-06-15
