"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"285","Captain Phillips","Sony Pictures",89673,NA,96,934,107136417,142,2014-03-01
"286","Captain Underpants: The Fir…","20th Century Fox",870,20,40,22,73883366,126,2017-10-05
"287","Captive","Paramount Pictures",5903,-6,132,45,2583301,21,2015-10-08
"288","Carol","Weinstein Co.",1556,25,23,68,12711491,133,2016-03-31
"289","Carrie","Sony Pictures",16666,-47,210,79,35266619,38,2013-11-24
"290","Carrie Pilby","The Orchard",73,-23,1,73,18957,13,2017-04-12
"291","Cars 3","Walt Disney",2888,7,83,35,152901115,140,2017-11-02
"292","Carter High","PlayNow Enterprise",140,-37,2,70,240214,47,2015-12-15
"293","Casa de mi Padre","Lionsgate",3456,1,56,62,5909483,63,2012-05-17
"294","Central Intelligence","Warner Bros.",14470,-2,206,70,127440871,77,2016-09-01
"295","Cesar Chavez","Lionsgate",4625,-22,97,48,5571497,42,2014-05-08
"296","Chappaquiddick","Entertainment Studi…",628,NA,1,628,17395521,118,2018-08-01
"297","Chappie","Sony Pictures",59036,-31,280,211,31121710,38,2015-04-12
"298","Chasing Mavericks","20th Century Fox",3110,-48,23,135,6002756,80,2013-01-13
"299","Chef","Open Road",46750,3,532,88,31424003,126,2014-09-11
"300","Chennai Express","UTV Communications",217,37,9,24,5307960,57,2013-10-03
"301","Chernobyl Diaries","Warner Bros.",1821,25,23,79,18119640,56,2012-07-19
"302","Chi-raq","Amazon Studios/Road…",324,-86,9,36,2653031,56,2016-01-28
"303","Child 44","Lionsgate",4319,-3,66,65,1224330,28,2015-05-14
"304","Child's Pose","Zeitgeist",13248,NA,10,1325,191129,37,2014-03-27
"305","Chimpanzee","Walt Disney",99724,16,895,111,27373646,35,2012-05-24
"306","CHiPS","Warner Bros.",2239,7,41,55,18600152,63,2017-05-25
"307","Chocolate City","Freestyle Releasing",85,-49,3,28,212662,35,2015-06-25
"308","Chosen","Hannover House",2176,464,3,725,9283,87,2017-03-12
"309","Christine","The Orchard",33,NA,3,11,298525,90,2017-01-11
"310","Christopher Robin","Walt Disney",665743,6,3394,196,80408868,28,2018-08-30
"311","Chronicle","20th Century Fox",900,47,10,90,64575175,126,2012-06-07
"312","Cinderella","Walt Disney",54948,17,641,86,197442446,70,2015-05-21
"313","Cirque du Soleil: Worlds Away","Paramount Pictures",3040,-37,38,80,12512862,56,2013-02-14
"314","CitizenFour","RADiUS-TWC",116,13,4,29,2785511,175,2015-04-16
"315","Close Encounters of the Thi…","Sony Pictures",5994,3,138,43,169100479,14555,2017-09-21
"316","Closed Circuit","Focus Features",4167,-6,105,40,5750995,30,2013-09-26
"317","Cloud Atlas","Warner Bros.",3713,22,58,64,27108272,91,2013-01-24
"318","Cloudy with a Chance of Mea…","Sony Pictures",22977,-40,163,141,119640264,157,2014-03-02
"319","Clown","Dimension Pictures",814,18,22,37,55007,14,2016-06-30
"320","Coco","Walt Disney",2476,33,59,42,209726015,156,2018-04-26
"321","Code Black","Long Shot Factory",2038,24,1,2038,6319,3,2014-06-22
"322","Collateral Beauty","Warner Bros.",8238,11,144,57,31016021,56,2017-02-09
"323","Collide","Open Road",18306,-12,1002,18,2280004,14,2017-03-09
"324","Colossal","Neon",212,112,2,106,3194575,98,2017-07-13
"325","Come Back to Me","Freestyle Releasing",697,-32,10,70,7744,7,2014-07-31
"326","Compadres","Lionsgate",3699,-33,82,45,3127773,35,2016-05-26
"327","Concussion","Sony Pictures",34990,2,315,111,33938587,35,2016-01-28
"328","Condorito: The Movie","Lionsgate",443,-53,36,12,447719,21,2018-02-01
"329","Contraband","Universal",10060,6,119,85,66528000,63,2012-03-15
"330","Cop Car","Focus Features",1534,23,25,61,134552,21,2015-08-27
"331","Copperhead","Brainstorm Media",775,-1,1,775,171740,45,2013-08-11
"332","Cosmopolis","Entertainment One",18558,-28,3,6186,266912,3,2012-08-19
"333","Courageous","Sony Pictures",14907,-36,90,166,34522221,115,2012-01-22
"334","Crazy Rich Asians","Warner Bros.",2472996,-7,3526,701,88727388,16,2018-08-30
"335","Creed","Warner Bros.",13501,-3,183,74,109767581,100,2016-03-03
"336","Crime + Punishment","IFC Films",1160,2,3,387,12943,7,2018-08-30
